iter	Passed	Remaining
1653	18389	1723
1654	18401	1712
1655	18428	1702
1656	18440	1691
1657	18453	1680
1658	18463	1669
1659	18472	1658
1660	18482	1646
1661	18492	1635
1662	18503	1624
1663	18520	1613
1664	18530	1602
1665	18539	1591
1666	18547	1579
1667	18556	1568
1668	18566	1557
1669	18577	1546
1670	18591	1535
1671	18603	1524
1672	18614	1513
1673	18625	1502
1674	18635	1490
1675	18646	1479
1676	18658	1468
1677	18668	1457
1678	18679	1446
1679	18690	1435
1680	18702	1424
1681	18712	1412
1682	18722	1401
1683	18733	1390
1684	18743	1379
1685	18755	1368
1686	18765	1357
1687	18777	1346
1688	18789	1334
1689	18801	1323
1690	18812	1312
1691	18823	1301
1692	18836	1290
1693	18846	1279
1694	18856	1268
1695	18869	1257
1696	18879	1246
1697	18891	1234
1698	18901	1223
1699	18911	1212
1700	18921	1201
1701	18931	1190
1702	18942	1179
1703	18952	1167
1704	18964	1156
1705	18987	1146
1706	19010	1135
1707	19027	1125
1708	19044	1114
1709	19060	1103
1710	19071	1092
1711	19084	1081
1712	19094	1070
1713	19106	1058
1714	19117	1047
1715	19128	1036
1716	19139	1025
1717	19153	1014
1718	19163	1003
1719	19175	992
1720	19185	981
1721	19196	969
1722	19207	958
1723	19219	947
1724	19231	936
1725	19244	925
1726	19254	914
1727	19265	903
1728	19276	891
1729	19287	880
1730	19298	869
1731	19308	858
1732	19318	847
1733	19329	836
1734	19341	824
1735	19353	813
1736	19363	802
1737	19375	791
1738	19386	780
1739	19398	769
1740	19409	758
1741	19419	746
1742	19430	735
1743	19441	724
1744	19452	713
1745	19464	702
1746	19473	691
1747	19485	679
1748	19495	668
1749	19506	657
1750	19517	646
1751	19527	635
1752	19537	624
1753	19553	613
1754	19565	602
1755	19576	590
1756	19587	579
1757	19598	568
1758	19608	557
1759	19619	546
1760	19631	535
1761	19642	523
1762	19652	512
1763	19662	501
1764	19674	490
1765	19683	479
1766	19695	468
1767	19705	456
1768	19716	445
1769	19726	434
1770	19737	423
1771	19748	412
1772	19758	401
1773	19768	390
1774	19780	378
1775	19792	367
1776	19806	356
1777	19816	345
1778	19828	334
1779	19838	323
1780	19850	312
1781	19863	300
1782	19874	289
1783	19887	278
1784	19898	267
1785	19910	256
1786	19928	245
1787	19939	234
1788	19950	223
1789	19960	211
1790	19971	200
1791	19982	189
1792	19993	178
1793	20004	167
1794	20015	156
1795	20026	144
1796	20035	133
1797	20045	122
1798	20054	111
1799	20065	100
1800	20077	89
1801	20088	78
1802	20099	66
1803	20111	55
1804	20122	44
1805	20132	33
1806	20141	22
1807	20149	11
1808	20159	0
