iter	RMSE
0	0.1006288295
1	0.09321180978
2	0.0865503341
3	0.08046107075
4	0.07507174986
5	0.07030440219
6	0.06588234143
7	0.0620544735
8	0.05859851691
9	0.05553687504
10	0.05280335783
11	0.05043174343
12	0.04830217474
13	0.046523616
14	0.04489148938
15	0.04344549593
16	0.04225971164
17	0.04119562305
18	0.04025979596
19	0.0394403503
20	0.03873393438
21	0.03809286354
22	0.03751127694
23	0.03699369702
24	0.03654289848
25	0.03619197121
26	0.03583694907
27	0.0354885297
28	0.03515521366
29	0.03482591031
30	0.03460733445
31	0.03439661233
32	0.03417527195
33	0.03396232969
34	0.03378719074
35	0.03358047617
36	0.03345432406
37	0.03329098368
38	0.03315192068
39	0.0329990191
40	0.03290020919
41	0.03280313776
42	0.03273142052
43	0.03264806157
44	0.03256044491
45	0.0324472397
46	0.03236482686
47	0.03228132322
48	0.03219619724
49	0.03212481488
50	0.03205238632
51	0.03197643286
52	0.03188365709
53	0.03180844347
54	0.03175749542
55	0.0316650254
56	0.03161436324
57	0.03155605506
58	0.03150568598
59	0.03142462061
60	0.03135732608
61	0.03130706239
62	0.03126187313
63	0.03121286065
64	0.0311634199
65	0.03112928152
66	0.03108392706
67	0.03104539004
68	0.03101001703
69	0.03096099342
70	0.0309250084
71	0.03088318929
72	0.03084130958
73	0.03080282604
74	0.03076324026
75	0.03072817401
76	0.03070183824
77	0.03067507524
78	0.03064777987
79	0.03060159326
80	0.03055283303
81	0.03052351809
82	0.03048802035
83	0.03043620853
84	0.03040473107
85	0.03035257208
86	0.03031986708
87	0.03030169687
88	0.03024402219
89	0.0301888825
90	0.03013717116
91	0.03011267435
92	0.03007417367
93	0.03005334672
94	0.03002037349
95	0.02995623505
96	0.02992030108
97	0.02988857343
98	0.02982349714
99	0.02976659047
100	0.02973088293
101	0.02969675846
102	0.02966065886
103	0.02963515618
104	0.0295988785
105	0.02958239979
106	0.02955849954
107	0.02952942215
108	0.02948688542
109	0.02945750687
110	0.02943504217
111	0.02942063589
112	0.02938789007
113	0.0293770218
114	0.02934347169
115	0.0293241445
116	0.02928792435
117	0.02925377791
118	0.02921027172
119	0.02917879599
120	0.02913806713
121	0.02909011293
122	0.02906223636
123	0.02902601905
124	0.02899555525
125	0.0289581692
126	0.02893607422
127	0.02891469494
128	0.02890022219
129	0.02887472058
130	0.02884853969
131	0.02882233957
132	0.02879037134
133	0.02876691333
134	0.02874041255
135	0.02871834593
136	0.02869509418
137	0.02867530312
